params,n_estimators,max_depth,max_features,accuracy,f1,recall,specificity,train_time,predict_time
"n_estimators=10, max_depth=None, max_features=sqrt",10,,sqrt,0.9486,0.9486222986792929,0.9401562797789212,0.9579213128550389,0.3777806758880615,0.017416715621948242
"n_estimators=10, max_depth=None, max_features=log2",10,,log2,0.9488,0.9488227485770283,0.9399656946826758,0.9585524931622134,0.5218665599822998,0.016330718994140625
"n_estimators=10, max_depth=None, max_features=None",10,,,0.9468,0.9468236371933184,0.9380598437202211,0.9564485588049653,1.3219382762908936,0.017186403274536133
"n_estimators=10, max_depth=5, max_features=sqrt",10,5,sqrt,0.9422,0.9422221192617956,0.9357728225652754,0.9492951819903219,0.14753127098083496,0.00865793228149414
"n_estimators=10, max_depth=5, max_features=log2",10,5,log2,0.9425,0.9425211212778563,0.9365351629502573,0.9490847885545971,0.19901633262634277,0.0071811676025390625
"n_estimators=10, max_depth=5, max_features=None",10,5,,0.9431,0.9431254273822564,0.934438726891557,0.9526614769619188,0.43849611282348633,0.006096601486206055
"n_estimators=10, max_depth=10, max_features=sqrt",10,10,sqrt,0.9454,0.9454205625000001,0.9390127692014485,0.952451083526194,0.23483562469482422,0.012175559997558594
"n_estimators=10, max_depth=10, max_features=log2",10,10,log2,0.9464,0.9464208337586669,0.9395845244901848,0.9539238375762676,0.3536965847015381,0.010800361633300781
"n_estimators=10, max_depth=10, max_features=None",10,10,,0.946,0.9460206650542725,0.9393939393939394,0.9532926572690932,0.8097577095031738,0.010059118270874023
"n_estimators=10, max_depth=20, max_features=sqrt",10,20,sqrt,0.948,0.9480231040235443,0.939203354297694,0.9577109194193141,0.3790268898010254,0.016301393508911133
"n_estimators=10, max_depth=20, max_features=log2",10,20,log2,0.9464,0.9464232530974729,0.9380598437202211,0.9556069850620661,0.5169467926025391,0.01643514633178711
"n_estimators=10, max_depth=20, max_features=None",10,20,,0.9445,0.9445233251487016,0.9367257480465028,0.9530822638333684,1.2230644226074219,0.015179157257080078
"n_estimators=50, max_depth=None, max_features=sqrt",50,,sqrt,0.9512,0.9512171514950647,0.9453020773775491,0.9577109194193141,1.9087917804718018,0.08262777328491211
"n_estimators=50, max_depth=None, max_features=log2",50,,log2,0.9514,0.9514176998489855,0.9451114922813036,0.9583420997264885,2.4604544639587402,0.07878446578979492
"n_estimators=50, max_depth=None, max_features=None",50,,,0.9493,0.9493159604954053,0.9445397369925672,0.954555017883442,6.119180202484131,0.07377314567565918
"n_estimators=50, max_depth=5, max_features=sqrt",50,5,sqrt,0.9422,0.9422221192617956,0.9357728225652754,0.9492951819903219,0.6617813110351562,0.02515888214111328
"n_estimators=50, max_depth=5, max_features=log2",50,5,log2,0.9424,0.9424216923076923,0.9361539927577663,0.9492951819903219,0.8590610027313232,0.02665877342224121
"n_estimators=50, max_depth=5, max_features=None",50,5,,0.9441,0.9441237996785105,0.9361539927577663,0.9528718703976435,1.9985499382019043,0.021767616271972656
"n_estimators=50, max_depth=10, max_features=sqrt",50,10,sqrt,0.9456,0.9456198121766421,0.9395845244901848,0.9522406900904692,1.1556365489959717,0.04626345634460449
"n_estimators=50, max_depth=10, max_features=log2",50,10,log2,0.9473,0.9473203262790452,0.9405374499714122,0.9547654113191668,1.6035370826721191,0.04713582992553711
"n_estimators=50, max_depth=10, max_features=None",50,10,,0.9473,0.947320007787598,0.9407280350676577,0.954555017883442,3.949772357940674,0.04369926452636719
"n_estimators=50, max_depth=20, max_features=sqrt",50,20,sqrt,0.9504,0.9504157845073227,0.9454926624737946,0.9558173784977909,1.7650187015533447,0.08061790466308594
"n_estimators=50, max_depth=20, max_features=log2",50,20,log2,0.9508,0.9508179183656397,0.9445397369925672,0.9577109194193141,2.4361493587493896,0.08388423919677734
"n_estimators=50, max_depth=20, max_features=None",50,20,,0.9487,0.9487157940224835,0.9441585668000763,0.9537134441405428,6.0090248584747314,0.06969809532165527
"n_estimators=100, max_depth=None, max_features=sqrt",100,,sqrt,0.9505,0.9505162565728827,0.9453020773775491,0.9562381653692404,3.638827323913574,0.15186834335327148
"n_estimators=100, max_depth=None, max_features=log2",100,,log2,0.9513,0.9513172727952126,0.9453020773775491,0.9579213128550389,5.022497653961182,0.15850567817687988
"n_estimators=100, max_depth=None, max_features=None",100,,,0.95,0.950016252125278,0.9449209071850582,0.9556069850620661,12.391853332519531,0.148573637008667
"n_estimators=100, max_depth=5, max_features=sqrt",100,5,sqrt,0.9422,0.9422221192617956,0.9357728225652754,0.9492951819903219,1.2724249362945557,0.04836463928222656
"n_estimators=100, max_depth=5, max_features=log2",100,5,log2,0.9422,0.9422221192617956,0.9357728225652754,0.9492951819903219,1.7129652500152588,0.04784822463989258
"n_estimators=100, max_depth=5, max_features=None",100,5,,0.9438,0.9438237739360953,0.9359634076615209,0.952451083526194,3.950260877609253,0.04322099685668945
"n_estimators=100, max_depth=10, max_features=sqrt",100,10,sqrt,0.9457,0.9457206152346597,0.939203354297694,0.9528718703976435,2.3347346782684326,0.09867358207702637
"n_estimators=100, max_depth=10, max_features=log2",100,10,log2,0.9472,0.9472198846153845,0.9407280350676577,0.9543446244477173,3.263885498046875,0.09603238105773926
"n_estimators=100, max_depth=10, max_features=None",100,10,,0.9473,0.9473193581103134,0.9411092052601486,0.9541342310119925,7.828115701675415,0.08335638046264648
"n_estimators=100, max_depth=20, max_features=sqrt",100,20,sqrt,0.9506,0.9506163893707259,0.9453020773775491,0.9564485588049653,3.6294779777526855,0.1567094326019287
"n_estimators=100, max_depth=20, max_features=log2",100,20,log2,0.9505,0.9505162565728827,0.9453020773775491,0.9562381653692404,4.892171144485474,0.15309929847717285
"n_estimators=100, max_depth=20, max_features=None",100,20,,0.9496,0.9496153408556093,0.9451114922813036,0.954555017883442,11.950709342956543,0.14092016220092773
"n_estimators=200, max_depth=None, max_features=sqrt",200,,sqrt,0.9513,0.9513156643215319,0.9462550028587764,0.9568693456764149,7.3204474449157715,0.3189511299133301
"n_estimators=200, max_depth=None, max_features=log2",200,,log2,0.9513,0.9513163194469174,0.9458738326662854,0.9572901325478645,9.998936891555786,0.2950115203857422
"n_estimators=200, max_depth=None, max_features=None",200,,,0.9499,0.949916453622251,0.9447303220888127,0.9556069850620661,24.493467092514038,0.2857522964477539
"n_estimators=200, max_depth=5, max_features=sqrt",200,5,sqrt,0.9422,0.9422221192617956,0.9357728225652754,0.9492951819903219,2.5603702068328857,0.09747505187988281
"n_estimators=200, max_depth=5, max_features=log2",200,5,log2,0.9422,0.9422221192617956,0.9357728225652754,0.9492951819903219,3.4478914737701416,0.09555339813232422
"n_estimators=200, max_depth=5, max_features=None",200,5,,0.9438,0.943823463615849,0.9361539927577663,0.9522406900904692,7.859379768371582,0.08516812324523926
"n_estimators=200, max_depth=10, max_features=sqrt",200,10,sqrt,0.9456,0.9456201518622154,0.9393939393939394,0.952451083526194,4.645088195800781,0.19144415855407715
"n_estimators=200, max_depth=10, max_features=log2",200,10,log2,0.9468,0.9468203589053205,0.9401562797789212,0.9541342310119925,6.595661401748657,0.18594622611999512
"n_estimators=200, max_depth=10, max_features=None",200,10,,0.9478,0.9478196586538463,0.9412997903563941,0.9549758047548916,15.516587734222412,0.16782259941101074
"n_estimators=200, max_depth=20, max_features=sqrt",200,20,sqrt,0.9506,0.9506176787729822,0.9445397369925672,0.9572901325478645,7.139224529266357,0.30530619621276855
"n_estimators=200, max_depth=20, max_features=log2",200,20,log2,0.9511,0.9511163864672333,0.9456832475700401,0.9570797391121397,9.801628828048706,0.29770660400390625
"n_estimators=200, max_depth=20, max_features=None",200,20,,0.9498,0.9498159754489434,0.9449209071850582,0.9551861981906165,23.944820880889893,0.2737143039703369
